date,grade,name,type
2023-05-18,5.8,"Ye Gods & Little Fishes",Trad
2023-05-18,5.7,Soler,Trad
2023-05-20,5.10a,"Marshall's Madness - Crack of Dawn",Trad
2023-05-20,5.2,"Old Ladies Route",Trad
2023-05-21,5.8,"Fear of Flying",Trad
2023-05-23,5.10a,"Madmen Only",Trad
2023-05-23,5.10a,Castor,Trad
2023-05-23,5.7,"500 Pound Flakeout",Trad
2023-05-24,5.6,"Roy Gap Chimney's",Trad
2023-05-30,5.9,Directissima,Trad
2023-05-30,5.9,"Bonnie's Roof",Trad
2023-05-30,5.9,"Ants' Line",Trad
2023-06-03,5.9,"Snake Charmer",Trad
2023-06-03,5.9,"The Gong Show",Trad
2023-06-04,5.10a,TR,Trad
2023-06-04,5.9,"Slim Pickins",Trad
2023-06-05,5.9,"Bloody Mary",Trad
2023-06-05,5.10b,"The Fastest Gun",Trad
2023-06-07,5.10a,"Goofer's Delight",Trad
2023-06-07,5.11d,"The Prow",Trad
2023-06-08,5.8,"Wonder Wall",Trad
2023-07-07,5.7,"Charlotte's Crack",Trad
2023-07-12,5.7,"Whitney Gilman Ridge",Trad
2023-07-17,5.9,"Rough Rhino",Sport
2023-07-17,5.9,"Short Shagg",Sport
2023-07-24,5.5,"Standard Route",Trad
2023-07-25,5.9,"Bird's Nest",Trad
2023-07-25,5.11a,Recluse,Trad
2023-08-11,5.6,"Thin Air",Trad
2023-08-15,5.10b,"Autumn Arch",Sport
2023-08-15,5.11b,"Expose'",Sport
2023-08-15,5.5,"Cruizin' South",Sport
2023-08-17,5.2,"Old Man's Route",Trad
2023-08-27,5.7,"Crackin' Up",Trad
2023-08-29,5.5,"Big Jugs",Trad
2023-08-29,5.5,"Sentinel Buttress",Trad
2023-09-03,5.11a,"Shredded Wheat",Trad
2023-09-05,5.10b,"The Devil Wears Prana",Sport
2023-09-08,5.5,"Easy Hard",Trad
2023-09-16,5.9,"Dude on the Corner",Sport
2023-09-23,5.10a,"Prime Rib",Trad
2023-09-23,5.9,"19'-hexanoyloxyfucoxanthin",Trad
2023-10-01,5.9,"Two For One",Trad
2023-10-19,5.9,"New Yosemite",Trad
2023-10-20,5.11b,"Process of Elimination",Sport
2023-10-21,5.9,"Ritz Cracker",Trad
2023-10-21,5.10a,"Triple Treat",Trad
2023-10-21,5.10b,Springboard,Trad
2023-10-21,5.9,"Two Bag Face",Trad
2023-10-30,5.5,"Sentinel Buttress",Trad
2023-11-03,5.5,"The Great Arch",Trad
2023-11-03,5.7,"U Slot",Trad
2023-11-12,5.7,"U Slot",Trad
2023-11-12,5.5,"The Great Arch",Trad
2023-11-18,5.10b,Vermin,Sport
2023-11-18,5.11a,"Voodoo Child",Sport
2023-11-18,5.10a,"Dimpsty Dumpster",Sport
2023-11-18,5.10a,"Red Headed Stepchild",Trad
2023-11-18,5.8,"Son of White Trash",Sport
2023-12-09,5.7,"Crackin' Up",Trad
2023-12-15,5.7,Outhouse,Trad
2024-01-08,5.10b,"Sombreros from Snowflake",Sport
2024-01-08,5.10a,"Postcards to Pinetop",Sport
2024-01-08,5.11a,Swifting,Sport
2024-01-10,5.7,"Four Course Meal",Trad
2024-01-13,5.7,Buissonier,Trad
2024-01-13,5.9,"Sexy Grandma",Sport
2024-01-28,5.5,"Tree Root",Trad
2024-01-28,5.7,"Ending Crack",Trad
2024-02-03,5.7+,Birdland,Trad
2024-02-11,5.8,"Knifeblade Crack",Trad
2024-02-11,5.9,"Route 1",Trad
2024-02-11,5.6,"Random 5.6",Trad
2024-02-11,5.6,"Random 5.6",Trad
2024-02-13,5.7,"Crescent Crack",Trad
2024-02-13,5.9,"The Coffin",Trad
2024-02-15,5.8,"West Crack",Trad
2024-03-04,5.7,"North Ridge",Trad
2024-03-13,5.6,"Candy Corner",Trad
